Designator,Mid X,Mid Y,Rotation,Layer
C1,116.3,-91.0,90.0,top
C10,115.0,-102.5,270.0,top
C12,114.3,-90.81,90.0,top
C13,108.115,-75.34,180.0,top
C14,109.0,-80.9,180.0,top
C15,108.4,-104.62,270.0,top
C16,113.67,-105.29,90.0,top
C3,116.68,-92.66,0.0,top
C4,115.3,-90.98,90.0,top
C5,117.76,-97.18,0.0,top
C6,106.74,-92.7,180.0,top
C7,106.13,-97.71,180.0,top
C8,113.8,-102.48,270.0,top
C9,113.5,-86.88,90.0,top
D1,113.4,-110.85,180.0,bottom
J1,111.58,-69.2,180.0,top
J2,102.71,-92.2,0.0,top
J3,120.49,-92.2,0.0,top
J4,111.6,-116.09,90.0,top
R1,113.06,-75.57,270.0,top
R2,110.19,-75.56,270.0,top
R5,111.96,-102.39,0.0,top
R6,108.23,-107.28,180.0,top
R7,107.48,-87.31,0.0,top
SW1,107.6,-110.7,90.0,top
U4,109.02,-78.0975,270.0,top
Y1,111.045,-104.94,180.0,top
